image_url,labeller1_label,labeller2_label,model_a_too_dark,model_a_blur,model_a_normal_image_quality,model_b_too_dark,model_b_blur,model_b_normal_image_quality
https://storage.googleapis.com/captur-synthetic-datasets/image_quality/4e58f149-1c8d-4159-9e6f-614dec04cced.jpg,normal,normal,0.0043434337712824,0.870888888835907,0.3008894324302673,0.007960982620716,0.004892102908343,0.9864206910133362
https://storage.googleapis.com/captur-synthetic-datasets/image_quality/35f6e863-9728-448e-8ce2-d94d2d24b028.jpg,normal,normal,0.0065281717106699,0.0100114811211824,0.9943217039108276,0.0081307673826813,0.0112863350659608,0.9893876910209656
https://storage.googleapis.com/captur-synthetic-datasets/image_quality/9453c99f-a213-46f5-b58e-601aa7a69cfe.jpg,normal,normal,0.0043226457200944,0.1107575446367263,0.9331164956092834,0.0059656165540218,0.0038686231710016,0.9905646443367004
https://storage.googleapis.com/captur-synthetic-datasets/image_quality/c8d43ad7-647c-4dda-89f8-b7af63815aa2.jpg,normal,normal,0.0899023562669754,0.0131920669227838,0.8388102650642395,0.0045965397730469,0.0075602461583912,0.9926647543907166
https://storage.googleapis.com/captur-synthetic-datasets/image_quality/a58246ea-fc2d-4a8d-a0d8-f434251e5a96.jpg,normal,normal,0.0065291495993733,0.0080462545156478,0.9942355751991272,0.0073952111415565,0.01158117223531,0.9913995265960692
https://storage.googleapis.com/captur-synthetic-datasets/image_quality/7f396e76-5788-42d8-b6f4-037d36e17335.jpg,normal,normal,0.0037245033308863,0.1277861446142196,0.9200084805488586,0.0057390774600207,0.0056061432696878,0.9906527400016784
https://storage.googleapis.com/captur-synthetic-datasets/image_quality/89aa927b-e2d7-4f9a-acff-b674b8e6505c.jpg,normal,normal,0.0040499540045857,0.0250814165920019,0.981605052947998,0.004483388736844,0.0059512020088732,0.9922388195991516
https://storage.googleapis.com/captur-synthetic-datasets/image_quality/c6c8bae5-f3fa-41b5-8b11-9c4ab051dcce.jpg,normal,normal,0.0063751083798706,0.0098618809133768,0.993967831134796,0.0094375954940915,0.0056721614673733,0.9930474162101746
https://storage.googleapis.com/captur-synthetic-datasets/image_quality/ff2e0c43-7054-4ab6-a6c8-fbf202b567a0.jpg,normal,normal,0.0082921599969267,0.0103936297819018,0.993885099887848,0.0067778932861983,0.0040014656260609,0.9934585094451904
https://storage.googleapis.com/captur-synthetic-datasets/image_quality/0c88fb3a-fafc-4279-89c2-da71c98d4a9a.jpg,normal,normal,0.0055356817319989,0.0068344236351549,0.9963794350624084,0.0059942188672721,0.008482907898724,0.9936821460723876
